1772384327.5716877,Petroleo,25
1772384327.5716877,Maritimo,20
1772384327.5716877,Cables,18
1772384327.5716877,MarChina,40
1772384327.5716877,Espacio,20
1772384327.5716877,Ciber,30
1772400352.9342608,Petroleo,25
1772400352.9342608,Maritimo,20
1772400352.9342608,Cables,16
1772400352.9342608,MarChina,40
1772400352.9342608,Espacio,20
1772400352.9342608,Ciber,30
1772400453.8706613,Petroleo,25
1772400453.8706613,Maritimo,20
1772400453.8706613,Cables,15
1772400453.8706613,MarChina,40
1772400453.8706613,Espacio,20
1772400453.8706613,Ciber,30
1772400883.6998997,Petroleo,25
1772400883.6998997,Maritimo,20
1772400883.6998997,Cables,15
1772400883.6998997,MarChina,40
1772400883.6998997,Espacio,20
1772400883.6998997,Ciber,30
1772401556.6651554,Petroleo,25
1772401556.6651554,Maritimo,20
1772401556.6651554,Cables,15
1772401556.6651554,MarChina,40
1772401556.6651554,Espacio,20
1772401556.6651554,Ciber,30
1772401829.3151193,Petroleo,35
1772401829.3151193,Maritimo,45
1772401829.3151193,Cables,15
1772401829.3151193,MarChina,42
1772401829.3151193,Espacio,20
1772401829.3151193,Ciber,33
1772401902.6165643,Petroleo,35
1772401902.6165643,Maritimo,45
1772401902.6165643,Cables,15
1772401902.6165643,MarChina,42
1772401902.6165643,Espacio,20
1772401902.6165643,Ciber,33
1772402649.1489332,Petroleo,35
1772402649.1489332,Maritimo,45
1772402649.1489332,Cables,15
1772402649.1489332,MarChina,42
1772402649.1489332,Espacio,20
1772402649.1489332,Ciber,33
1772405044.9622355,Petroleo,35
1772405044.9622355,Maritimo,45
1772405044.9622355,Cables,15
1772405044.9622355,MarChina,42
1772405044.9622355,Espacio,20
1772405044.9622355,Ciber,33
1772405131.7062063,Petroleo,35
1772405131.7062063,Maritimo,45
1772405131.7062063,Cables,15
1772405131.7062063,MarChina,42
1772405131.7062063,Espacio,20
1772405131.7062063,Ciber,33
1772405396.842422,Petroleo,35
1772405396.842422,Maritimo,45
1772405396.842422,Cables,15
1772405396.842422,MarChina,42
1772405396.842422,Espacio,20
1772405396.842422,Ciber,33
1772405473.7918713,Petroleo,35
1772405473.7918713,Maritimo,45
1772405473.7918713,Cables,15
1772405473.7918713,MarChina,42
1772405473.7918713,Espacio,20
1772405473.7918713,Ciber,33
1772405675.5354567,Petroleo,35
1772405675.5354567,Maritimo,45
1772405675.5354567,Cables,15
1772405675.5354567,MarChina,42
1772405675.5354567,Espacio,20
1772405675.5354567,Ciber,33
1772405799.1083279,Petroleo,35
1772405799.1083279,Maritimo,45
1772405799.1083279,Cables,15
1772405799.1083279,MarChina,42
1772405799.1083279,Espacio,20
1772405799.1083279,Ciber,33
1772405991.4625463,Petroleo,35
1772405991.4625463,Maritimo,45
1772405991.4625463,Cables,15
1772405991.4625463,MarChina,42
1772405991.4625463,Espacio,20
1772405991.4625463,Ciber,33
1772406039.611639,Petroleo,35
1772406039.611639,Maritimo,45
1772406039.611639,Cables,15
1772406039.611639,MarChina,42
1772406039.611639,Espacio,20
1772406039.611639,Ciber,33
1772406902.8169525,Petroleo,35
1772406902.8169525,Maritimo,45
1772406902.8169525,Cables,15
1772406902.8169525,MarChina,42
1772406902.8169525,Espacio,20
1772406902.8169525,Ciber,33
1772410502.9798129,Petroleo,35
1772410502.9798129,Maritimo,45
1772410502.9798129,Cables,15
1772410502.9798129,MarChina,42
1772410502.9798129,Espacio,20
1772410502.9798129,Ciber,33
1772414102.3010354,Petroleo,35
1772414102.3010354,Maritimo,45
1772414102.3010354,Cables,15
1772414102.3010354,MarChina,42
1772414102.3010354,Espacio,20
1772414102.3010354,Ciber,33
1772417702.106351,Petroleo,35
1772417702.106351,Maritimo,45
1772417702.106351,Cables,15
1772417702.106351,MarChina,42
1772417702.106351,Espacio,20
1772417702.106351,Ciber,33
1772421302.68394,Petroleo,35
1772421302.68394,Maritimo,45
1772421302.68394,Cables,15
1772421302.68394,MarChina,42
1772421302.68394,Espacio,20
1772421302.68394,Ciber,33
1772424902.6204023,Petroleo,35
1772424902.6204023,Maritimo,45
1772424902.6204023,Cables,15
1772424902.6204023,MarChina,42
1772424902.6204023,Espacio,20
1772424902.6204023,Ciber,33
1772428502.4671614,Petroleo,35
1772428502.4671614,Maritimo,45
1772428502.4671614,Cables,15
1772428502.4671614,MarChina,42
1772428502.4671614,Espacio,20
1772428502.4671614,Ciber,33
1772432102.232273,Petroleo,35
1772432102.232273,Maritimo,45
1772432102.232273,Cables,15
1772432102.232273,MarChina,42
1772432102.232273,Espacio,20
1772432102.232273,Ciber,33
1772435703.0111444,Petroleo,35
